"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.533396360E-1,-1.003749967E0,3.023624897E0,-1.905887485E0,3.712442406E0
4.558442500E-1,-1.040462494E0,3.103100061E0,-1.948650002E0,3.809071937E0
4.583488650E-1,-1.070987463E0,3.180099964E0,-1.992650032E0,3.902653466E0
4.608534810E-1,-1.095462441E0,3.248437405E0,-2.040362597E0,3.989418887E0
4.633580960E-1,-1.112512469E0,3.309624910E0,-2.092887402E0,4.070808116E0
4.658627110E-1,-1.121037483E0,3.354724884E0,-2.144175053E0,4.136229049E0
4.683673270E-1,-1.127225041E0,3.391437531E0,-2.191887379E0,4.192476010E0
4.708729420E-1,-1.129562497E0,3.414674997E0,-2.236987591E0,4.235567288E0
4.733765590E-1,-1.134512544E0,3.409724951E0,-2.284699917E0,4.258309132E0
4.758811730E-1,-1.140562534E0,3.374249935E0,-2.334749937E0,4.258814716E0
4.783857930E-1,-1.145512462E0,3.333962440E0,-2.384799957E0,4.256145579E0
4.808904090E-1,-1.144274950E0,3.293674946E0,-2.434987545E0,4.252860702E0
4.833950240E-1,-1.143037438E0,3.247200012E0,-2.481324911E0,4.243561690E0
4.858997160E-1,-1.140562534E0,3.183675051E0,-2.522850037E0,4.219175516E0
4.884043240E-1,-1.133275032E0,3.096912384E0,-2.555850029E0,4.172235370E0
4.909100910E-1,-1.116225004E0,2.993099928E0,-2.581562519E0,4.107197399E0
4.934135550E-1,-1.091750026E0,2.873475075E0,-2.599849939E0,4.025915651E0
4.959181680E-1,-1.064800024E0,2.752475023E0,-2.609612465E0,3.939542494E0
4.984230100E-1,-1.029462457E0,2.619237423E0,-2.609612465E0,3.838004018E0
5.009276270E-1,-9.817500114E-1,2.467849970E0,-2.596275091E0,3.714129899E0
5.034322430E-1,-9.354124665E-1,2.310137510E0,-2.573037386E0,3.582213448E0
5.059368580E-1,-8.986999989E-1,2.164799929E0,-2.544849873E0,3.459809430E0
5.084414690E-1,-8.779374957E-1,2.034037590E0,-2.510750055E0,3.348424854E0
5.109470820E-1,-8.669375181E-1,1.916749954E0,-2.474037409E0,3.247517844E0
5.134507760E-1,-8.657000065E-1,1.810462475E0,-2.432512522E0,3.153462865E0
