"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.984248750E-1,5.942749977E-1,-1.086112499E0,1.893374920E-1,1.252458311E0
5.009295610E-1,5.746124983E-1,-1.188825011E0,1.551000029E-1,1.329488790E0
5.034341790E-1,5.233250260E-1,-1.306112528E0,1.233374998E-1,1.412448639E0
5.059399460E-1,4.427500069E-1,-1.419687510E0,1.000999957E-1,1.490489920E0
5.084436400E-1,3.352249861E-1,-1.513737440E0,8.910000324E-2,1.552969942E0
5.109482250E-1,2.387000024E-1,-1.595549941E0,9.281250089E-2,1.615973844E0
5.134528400E-1,1.373624951E-1,-1.637212515E0,1.098624989E-1,1.646633852E0
5.159574560E-1,5.183750018E-2,-1.638312459E0,1.391499937E-1,1.645028134E0
5.184620710E-1,-2.268750034E-2,-1.593212485E0,1.771000028E-1,1.603185940E0
5.209667870E-1,-9.721250087E-2,-1.511262536E0,2.161500007E-1,1.529733815E0
5.234714050E-1,-1.729750037E-1,-1.414737463E0,2.466749996E-1,1.446461543E0
5.259771720E-1,-2.524499893E-1,-1.310925007E0,2.613874972E-1,1.360359803E0
5.284808660E-1,-3.232625127E-1,-1.220587492E0,2.601499856E-1,1.289189859E0
5.309855650E-1,-3.867875040E-1,-1.142349958E0,2.479124963E-1,1.231271134E0
5.334901810E-1,-4.490749836E-1,-1.069062471E0,2.223374993E-1,1.180676447E0
5.359947960E-1,-5.212625265E-1,-9.945374727E-1,1.856250018E-1,1.138101950E0
5.384994120E-1,-5.823125243E-1,-9.272999763E-1,1.440999955E-1,1.104417462E0
5.410040270E-1,-6.408874989E-1,-8.430125117E-1,9.528750181E-2,1.063243429E0
5.435088780E-1,-6.946499944E-1,-7.574874759E-1,4.276249930E-2,1.028666380E0
5.460141860E-1,-7.448375225E-1,-6.707249880E-1,-1.594999991E-2,1.002451668E0
5.485178800E-1,-7.948874831E-1,-5.779125094E-1,-6.971249729E-2,9.852354093E-1
5.510224940E-1,-8.424624801E-1,-4.813874960E-1,-1.234750003E-1,9.781221945E-1
5.535273400E-1,-8.901749849E-1,-3.825249970E-1,-1.747625023E-1,9.845195830E-1
5.560319670E-1,-9.329375029E-1,-2.822875082E-1,-2.235749960E-1,1.000022200E0
5.585365830E-1,-9.707499743E-1,-1.808124930E-1,-2.675749958E-1,1.023056718E0
5.610411980E-1,-1.011175036E0,-8.552499861E-2,-3.115749955E-1,1.061540606E0
5.635458130E-1,-1.051462531E0,-1.237499993E-3,-3.495250046E-1,1.108035520E0
5.660514510E-1,-1.096562505E0,6.710000336E-2,-3.823874891E-1,1.163259184E0
5.685551450E-1,-1.151562452E0,1.160499975E-1,-4.105750024E-1,1.228061691E0
5.710597580E-1,-1.209037542E0,1.513874978E-1,-4.350500107E-1,1.293815468E0
5.735646050E-1,-1.273800015E0,1.771000028E-1,-4.545750022E-1,1.364026878E0
5.760692220E-1,-1.337324977E0,2.015749961E-1,-4.703874886E-1,1.431899075E0
5.785738420E-1,-1.402087450E0,2.173874974E-1,-4.875749946E-1,1.500278613E0
5.810784580E-1,-1.463137507E0,2.223374993E-1,-5.106750131E-1,1.565565169E0
5.835830730E-1,-1.518137455E0,2.223374993E-1,-5.400999784E-1,1.626617128E0
5.860886870E-1,-1.565712452E0,2.320999950E-1,-5.730999708E-1,1.683380369E0
5.885923810E-1,-1.599949956E0,2.651000023E-1,-6.072000265E-1,1.731707176E0
5.910972110E-1,-1.620712519E0,3.236750066E-1,-6.402000189E-1,1.772379937E0
5.936018280E-1,-1.631712437E0,4.043875039E-1,-6.769124866E-1,1.812243152E0
5.961064440E-1,-1.637899995E0,5.057250261E-1,-7.171999812E-1,1.858184600E0
5.986110590E-1,-1.637899995E0,6.180624962E-1,-7.562500238E-1,1.906995475E0
6.011154390E-1,-1.643949986E0,7.427750230E-1,-7.966749668E-1,1.972049009E0
6.036202830E-1,-1.646425009E0,8.746374846E-1,-8.357250094E-1,2.043071788E0
6.061258980E-1,-1.638999939E0,1.007874966E0,-8.760125041E-1,2.114126452E0
6.086295160E-1,-1.613425016E0,1.156924963E0,-9.237250090E-1,2.189722253E0
6.111341150E-1,-1.576712489E0,1.324262500E0,-9.774875045E-1,2.279292711E0
6.136387310E-1,-1.544950008E0,1.508787513E0,-1.039775014E0,2.396756635E0
6.161434230E-1,-1.527899981E0,1.685887456E0,-1.105774999E0,2.529710104E0
6.186480400E-1,-1.532712460E0,1.843462467E0,-1.172875047E0,2.668931851E0
6.211526560E-1,-1.551137447E0,1.988937497E0,-1.241349936E0,2.811200706E0
6.236574900E-1,-1.575474977E0,2.144037485E0,-1.314637542E0,2.967707871E0
6.261630280E-1,-1.596374989E0,2.306562424E0,-1.389162540E0,3.130242144E0
6.286667230E-1,-1.615900040E0,2.479949951E0,-1.467399955E0,3.303717198E0
6.311713360E-1,-1.629237533E0,2.665712595E0,-1.551687479E0,3.488290786E0
6.336759510E-1,-1.630475044E0,2.869762421E0,-1.642024994E0,3.686493090E0
